new_id, ''casrn'', ''iupac name'', ''smiles'', ''inchi'', ''inchi key'', ''mol formula'',mol weight,logP,Net charge,#H-bond donors,#H-bond acceptors,#Rotatable bonds,Rings,TPSA,Hetero atoms,#Heavy atoms,#Aromatic heavy atoms, ''Melting Point'', ''Boiling point @ 760.00 mm Hg'', ''VaporPressuremmHg@25.00'', ''Vapor Density ( Air = 1 )'',Fraction Csp3,MR,iLOGP,XLOGP3,WLOGP,MLOGP,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l), ''ESOL Class'',Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l), ''Ali Class'',Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l), ''Silicos-IT class'', ''GI absorption'',BBB permeant,Pgp substrate,log Kp (cm/s),Bioavailability Score,Caco02,Human Intestinal Absorption,Plasma protein binding
1, ''78-96-6'', ''1-aminopropan-2-ol'', ''CC(CN)O''," ''1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3''", ''HXKKHQJGJAFBHI-UHFFFAOYSA-N'', ''C3H9NO'',75.11,-0.674,1,2,2,1,0,46.25,2,5,0, ''24.00 to 26.00'', ''160.00 to 161.00'',0.47,2.6,1,20.4,1.13,-0.96,-0.67,-0.63,0.37,174,2.32, ''Highly soluble'',0.47,224,2.98, ''Highly soluble'',0.34,166,2.21, ''Soluble'', ''High'',0,0,-7.44,0.55,0,1,0.058
2, ''759-05-7'', ''2-oxobutanoic acid'', ''CC(C)C(=O)C(=O)O''," ''1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)''", ''QHKABHOOEWYVLI-UHFFFAOYSA-N'', ''C5H8O3'',116.12,0.296,-1,1,3,2,0,54.37,3,8,0,31.5, ''170.00 to 171.00'',0.732, ''null'',0.6,28.12,0.77,0.71,0.3,-0.09,-0.88,15.5,0.133, ''Very soluble'',-1.43,4.32,0.04, ''Very soluble'',0.03,124,1.07, ''Soluble'', ''High'',0,0,-6.5,0.85,0,1,0.605
3, ''600-18-0'', ''2-Oxobutyric acid'', ''CCC(=O)C(=O)O''," ''1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)''", ''TYEYBOSBBBHJIV-UHFFFAOYSA-N'', ''C4H6O3'',102.09,0.05,-1,1,3,2,0,54.37,3,7,0,33, ''170.00 to 171.00'',0.482, ''null'',0.5,23.31,0.46,0.14,0.05,-0.5,-0.43,38,0.372, ''Very soluble'',-0.84,14.8,0.15, ''Very soluble'',0.08,123,1.21, ''Soluble'', ''High'',0,0,-6.82,0.85,1,1,0.104
4, ''816-66-0'', ''4-methyl-2-oxopentanoic acid'', ''CC(C)CC(=O)C(=O)O''," ''1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)''", ''BKAJNAXTPSGJCU-UHFFFAOYSA-N'', ''C6H10O3'',130.14,0.686,-1,1,3,3,0,54.37,3,9,0, ''8 to 10'', ''170.00 to 171.00'',0.239, ''null'',0.67,32.93,1.06,0.94,0.69,0.28,-1.04,11.8,0.091, ''Very soluble'',-1.67,2.79,0.02, ''Very soluble'',-0.39,52.7,0.41, ''Soluble'', ''High'',1,0,-6.43,0.85,0,1,0.563
5, ''99-50-3''," ''3,4-dihydroxybenzoic acid''", ''C1=CC(=C(C=C1C(=O)O)O)O''," ''1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)''", ''YQUVCSBJEUQKSH-UHFFFAOYSA-N'', ''C7H6O4'',154.12,0.796,-1,3,4,1,1,77.76,4,11,6,221, ''170.00 to 171.00'', ''null'', ''null'',0,37.45,0.66,1.15,0.8,0.4,-1.86,2.14,0.014, ''Very soluble'',-2.38,0.65,0, ''Soluble'',-0.6,38.3,0.25, ''Soluble'', ''High'',0,0,-6.42,0.56,0,1,0.717
6, ''501-52-0'', ''3-Phenylpropionic acid'', ''C1=CC=C(C=C1)CCC(=O)O''," ''1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)''", ''XMIIGOLPHOKFCH-UHFFFAOYSA-N'', ''C9H10O2'',150.17,1.704,-1,1,2,3,1,37.3,2,11,6,107, ''170.00 to 171.00'',0.002, ''null'',0.22,42.79,1.5,1.84,1.7,1.98,-2.14,1.1,0.007, ''Soluble'',-2.24,0.86,0.01, ''Soluble'',-2.56,0.41,0, ''Soluble'', ''High'',1,0,-5.91,0.85,1,1,0.74
7, ''56-12-2'', ''4-aminobutanoic acid'', ''C(CC(=O)O)CN''," ''1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)''", ''BTCSSZJGUNDROE-UHFFFAOYSA-N'', ''C4H9NO2'',103.12,-0.19,0,2,3,3,0,63.32,3,7,0,203, ''170.00 to 171.00'',0.008, ''null'',0.75,25.82,0.72,-3.17,-0.19,-0.39,1.72,5360,52, ''Highly soluble'',2.41,264,256, ''Highly soluble'',-0.04,95.1,0.92, ''Soluble'', ''High'',0,0,-9.18,0.55,1,1,0.353
8, ''623-05-2'', ''4-(hydroxymethyl)phenol'', ''C1=CC(=CC=C1CO)O''," ''1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2''", ''BVJSUAQZOZWCKN-UHFFFAOYSA-N'', ''C7H8O2'',124.14,0.885,0,2,2,1,1,40.46,2,9,6,124.5, ''170.00 to 171.00'',0.01, ''null'',0.14,34.59,1.29,0.25,0.73,0.88,-1.19,7.93,0.064, ''Very soluble'',-0.66,27.1,0.22, ''Very soluble'',-1.61,3.06,0.02, ''Soluble'', ''High'',1,0,-6.88,0.55,1,1,0.314
9, ''123-08-0'', ''4-Hydroxybenaldehyde'', ''C1=CC(=CC=C1C=O)O''," ''1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H''", ''RGHHSNMVTDWUBI-UHFFFAOYSA-N'', ''C7H6O2'',122.12,1.205,-1,1,2,1,1,37.3,2,9,6,117, ''170.00 to 171.00'',0.017, ''null'',0,33.85,0.99,1.35,1.2,0.79,-1.87,1.63,0.013, ''Very soluble'',-1.74,2.25,0.02, ''Very soluble'',-1.72,2.31,0.02, ''Soluble'', ''High'',1,0,-6.09,0.55,1,1,0.484
10, ''99-96-7'', ''4-hydroxybenzoic acid'', ''C1=CC(=CC=C1C(=O)O)O''," ''1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)''", ''FJKROLUGYXJWQN-UHFFFAOYSA-N'', ''C7H6O3'',138.12,1.09,-1,2,3,1,1,57.53,3,10,6,214.5, ''170.00 to 171.00'', ''null'', ''null'',0,35.42,0.85,1.58,1.09,0.99,-2.07,1.18,0.009, ''Soluble'',-2.4,0.55,0, ''Soluble'',-1.17,9.4,0.07, ''Soluble'', ''High'',1,0,-6.02,0.85,1,1,0.556
11, ''64-19-7'', ''Acetic acid'', ''CC(=O)O''," ''1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)''", ''QTBSBXVTEAMEQO-UHFFFAOYSA-N'', ''C2H4O2'',60.05,0.091,-1,1,2,0,0,37.3,2,4,0, ''16.60 to 16.70'', ''170.00 to 171.00'',15.7,2.1,0.5,13.5,0.63,-0.21,0.09,-0.49,-0.08,49.9,0.832, ''Very soluble'',-0.12,45.9,0.77, ''Very soluble'',0.53,205,3.42, ''Soluble'', ''High'',0,0,-6.82,0.85,0,1,-0.033
12, ''75-07-0'', ''acetaldehyde'', ''CC=O''," ''1S/C2H4O/c1-2-3/h2H,1H3''", ''IKHGUXGNUITLKF-UHFFFAOYSA-N'', ''C2H4O'',44.05,-0.3,null,0,1,0,0,17.07,0,3,0, ''125.00 to -123.00'', ''170.00 to 171.00'',902,1.5,0.5,11.93,0.8,-0.27,0.21,-0.37,0.06,50.2,1.14, ''Highly soluble'',0.37,103,2.35, ''Highly soluble'',0.02,46,1.04, ''Soluble'', ''Low'',0,0,-6.76,0.55,0,1,0.395
13, ''513-86-0'', ''3-hydroxybutan-2-one'', ''CC(C(=O)C)O''," ''1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3''", ''ROWKJAVDOGWPAT-UHFFFAOYSA-N'', ''C4H8O2'',88.11,-0.044,0,1,2,1,0,37.3,2,6,0,15, ''170.00 to 171.00'',2.69,3,0.75,22.7,0.98,-0.3,-0.04,-0.33,-0.13,65.1,0.739, ''Very soluble'',-0.02,83.5,0.95, ''Very soluble'',0.03,93.3,1.06, ''Soluble'', ''High'',0,0,-7.05,0.55,0,1,0.396
14, ''67-64-1'', ''propan-2-one'', ''CC(=O)C'', ''1S/C3H6O/c1-3(2)4/h1-2H3'', ''CSCPPACGZOOCGX-UHFFFAOYSA-N'', ''C3H6O'',58.08,0.595,0,0,1,0,0,17.07,1,4,0, ''-95.00 to -94.00'', ''170.00 to 171.00'',232,2,0.67,16.73,1.14,-0.05,0.6,0.15,-0.17,39.4,0.678, ''Very soluble'',0.14,80.6,1.39, ''Highly soluble'',-0.42,22,0.38, ''Soluble'', ''High'',0,0,-6.69,0.55,0,1,-0.279
15, ''7664-41-7'', ''azane'', ''N'', ''1S/H3N/h1H3'', ''QHKABHOOEWYVLI-UHFFFAOYSA-N'', ''H3N'',17.03,-0.7,null,0,1,0,0,3.24,0,1,0,-78, ''170.00 to 171.00'',8.75,6,0.67,4.73,1.14,-0.05,0.6,0.15,-0.17,39.4,0.678, ''Very soluble'',0.14,80.6,1.39, ''Highly soluble'',-0.42,22,0.38, ''Soluble'', ''High'',0,0,-6.69,0.55,null,null,null
16, ''100-52-7'', ''benzaldehyde'', ''C1=CC=C(C=C1)C=O'', ''1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H'', ''HUMNYLRZRPPJDN-UHFFFAOYSA-N'', ''C7H6O'',106.12,1.499,0,0,1,1,1,17.07,1,8,6, ''-26.00 to -25.00'', ''170.00 to 171.00'',1.27,3.7,0,31.83,1.36,1.48,1.5,1.45,-1.92,1.28,0.012, ''Very soluble'',-1.45,3.8,0.04, ''Very soluble'',-2.28,0.56,0.01, ''Soluble'', ''High'',1,0,-5.9,0.55,1,1,0.393
17, ''71-43-2'', ''benzene'', ''C1=CC=CC=C1'', ''1S/C6H6/c1-2-4-6-5-3-1/h1-6H'', ''UHOVQNZJYSORNB-UHFFFAOYSA-N'', ''C6H6'',78.11,1.687,0,0,0,0,1,0,0,6,6, ''5.00 to 6.00'', ''170.00 to 171.00'',94.8, ''null'',0,26.44,1.58,2.13,1.69,3.17,-2.41,0.307,0.004, ''Soluble'',-1.76,1.35,0.02, ''Very soluble'',-2.27,0.42,0.01, ''Soluble'', ''Low'',0,0,-5.26,0.55,1,1,0.186
18, ''65-85-0'', ''benzoic acid'', ''C1=CC=C(C=C1)C(=O)O''," ''1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)''", ''WPYMKLBDIGXBTP-UHFFFAOYSA-N'', ''C7H6O2'',122.12,1.385,-1,1,2,1,1,37.3,2,9,6, ''122.00 to 123.00'', ''170.00 to 171.00'',10,4.21,0,33.4,1.11,1.87,1.38,1.6,-2.2,0.766,0.006, ''Soluble'',-2.27,0.65,0.01, ''Soluble'',-1.72,2.31,0.02, ''Soluble'', ''High'',1,0,-5.72,0.85,1,1,0.777
